総回転数,回転数,大当たり,差玉
99001,13,10R（確変）,-55482
99006,4,10R（確変）,-53982
99018,11,10R（確変）,-52482
99916,897,3R（通常）,-60906
100025,108,10R*2（確変）,-61752
100072,0,10R（確変）,-58752
100076,3,10R（確変）,-57252
100132,23,10R*2（確変）,-56028
100209,76,10R（確変）,-53028
100235,25,10R（確変）,-51528
100244,8,10R（確変）,-50028
100257,12,10R（確変）,-48528
100270,12,10R（確変）,-47028
100272,1,10R（確変）,-45528
